shot_index,player_id,keeper_id,target,keeper_dive,result,keeper_touch,x,y,z,target_x,target_y,speed_z,speed_manual,projected_x,projected_y,projected_z,goalie_move_pre_kick,actual_x,actual_y,actual_z,error_x,error_y,speed_mph
1,1,1,RH,Right,S,1,2.648,1.1,0.538,3.388,2.103,21.4,21.14,2.772,1.102,0,0.3336670003,2.648,1.1,0.538,-0.616,-1.001,43.24090909090909
2,1,1,RH,Left,G,0,2.482,1.607,0,3.388,2.103,24.87,25.69,2.482,1.607,0,0.3003003003,2.482,1.607,0,-0.906,-0.496,52.54772727272727
3,1,1,RL,Left,G,0,2.267,0.848,0,3.435,0.611,24.36,26.16,2.267,0.848,0,0.5422088755,2.267,0.848,0,-1.168,0.237,53.50909090909091
4,1,1,RL,Left,G,0,2.348,0.81,0,3.435,0.611,23.73,23.58,2.348,0.81,0,0.3169836503,2.348,0.81,0,-1.087,0.199,48.231818181818184
5,1,1,LL,Right,G,0,-1.998,0.571,0,-3.443,0.617,26.96,22.48,-1.998,0.571,0,0.3753753754,-1.998,0.571,0,1.445,-0.046,45.981818181818184
6,2,1,RH,Right,G,0,3.758,1.307,0,3.388,2.103,22.13,22.48,3.758,1.307,0,0.4087420754,3.758,1.307,0,0.37,-0.796,45.981818181818184
7,2,1,LH,Left,G,0,-3.328,1.506,0,-3.441,2.002,27.2,24.38,-3.328,1.506,0,0.4421087754,-3.328,1.506,0,0.113,-0.496,49.86818181818182
8,2,1,RH,Left,G,0,3.852,2.555,0,3.388,2.103,21.48,22.83,3.852,2.555,0,0.2419085752,3.852,2.555,0,0.464,0.452,46.69772727272727
9,2,1,LL,Left,G,0,-3.144,1.026,0,-3.443,0.617,28.56,23.58,-3.144,1.026,0,0.2252252252,-3.144,1.026,0,0.299,0.409,48.231818181818184
10,2,1,RL,Left,G,0,2.246,0.075,0,3.435,0.611,24.11,26.16,2.246,0.075,0,0.4754754755,2.246,0.075,0,-1.189,-0.536,53.50909090909091
11,3,1,LH,Right,G,0,-3.486,1.542,0,-3.441,2.002,26.54,22.83,-3.486,1.542,0,0.5005005005,-3.486,1.542,0,-0.045,-0.46,46.69772727272727
12,3,1,LH,Right,G,0,-3.35,0.825,0,-3.441,2.002,25.4,21.8,-3.35,0.825,0,0.2752752753,-3.35,0.825,0,0.091,-1.177,44.59090909090909
13,3,1,RH,Right,S,1,2.833,0.272,0.703,3.388,2.103,23.86,23.76,3.009,0.273,0,0.5088421755,2.833,0.272,0.703,-0.379,-1.83,48.6
14,3,1,RL,Left,G,0,3.152,0.352,0,3.435,0.611,21.33,20.26,3.152,0.352,0,0.3169836503,3.152,0.352,0,-0.283,-0.259,41.44090909090909
15,3,1,RH,Left,G,0,3.091,1.466,0,3.388,2.103,23.58,23.976,3.091,1.466,0,0.1584918252,3.091,1.466,0,-0.297,-0.637,49.04181818181818
16,1,1,LH,Right,G,0,-3.624,1.719,0,-3.441,2.002,26.78,23.2,-3.624,1.719,0,0.1668335002,-3.624,1.719,0,-0.183,-0.283,47.45454545454545
17,1,1,LL,Right,G,0,-2.96,1.32,0,-3.443,0.617,26.57,22.83,-2.96,1.32,0,0.5171838505,-2.96,1.32,0,0.483,0.703,46.69772727272727
18,1,1,RL,Right,S,1,2.307,0.178,0.405,3.435,0.611,23.39,22.13,2.388,0.178,0,0.4170837504,2.307,0.178,0.405,-1.047,-0.433,45.26590909090909
19,1,1,LH,Right,G,0,-3.074,0.332,0,-3.31,2.068,27.69,26.16,-3.074,0.332,0,0.4421087754,-3.074,0.332,0,0.236,-1.736,53.50909090909091
20,1,1,LH,Left,G,0,-3.021,2.522,0,-3.31,2.068,25.19,21.16,-3.021,2.522,0,0.5422088755,-3.021,2.522,0,0.289,0.454,43.28181818181818
21,2,1,RH,Left,G,0,2.819,1.681,0,3.388,2.103,21.78,23.58,2.819,1.681,0,0.4671338005,2.819,1.681,0,-0.569,-0.422,48.231818181818184
22,2,1,RL,Left,G,0,2.27,0.19,0,3.435,0.611,25.68,25.69,2.27,0.19,0,0.4004004004,2.27,0.19,0,-1.165,-0.421,52.54772727272727
23,2,1,RH,Left,G,0,1.672,0.209,0,3.388,2.103,26.49,26.16,1.672,0.209,0,0.3253253253,1.672,0.209,0,-1.716,-1.894,53.50909090909091
24,2,1,LL,Right,G,0,-2.247,1.291,0,-3.443,0.617,27.98,26.16,-2.247,1.291,0,0.4504504505,-2.247,1.291,0,1.196,0.674,53.50909090909091
25,2,1,LH,Right,F,0,-3.993,0.598,0.076,-3.31,2.068,26.42,25.69,-3.993,0.598,0.076,0.3920587254,-3.993,0.598,0.076,-0.683,-1.47,52.54772727272727
26,3,1,RL,Right,G,0,3.51,1.15,0,3.435,0.611,21.54,21.37,3.51,1.15,0,0.5255255255,3.51,1.15,0,0.075,0.539,43.711363636363636
27,3,1,RL,Left,G,0,3.459,0.114,0,3.435,0.611,22.04,20.85,3.459,0.114,0,0.2085418752,3.459,0.114,0,0.024,-0.497,42.64772727272727
28,3,1,LL,Left,F,0,-4.04,0.232,0.076,-3.443,0.617,26.71,21.8,-4.04,0.232,0.076,0.1418084751,-4.04,0.232,0.076,-0.597,-0.385,44.59090909090909
29,3,1,LL,Right,G,0,-3.038,0.328,0,-3.443,0.617,25.67,22.13,-3.038,0.328,0,0.3920587254,-3.038,0.328,0,0.405,-0.289,45.26590909090909
30,3,1,RH,Right,G,0,2.733,1.448,0,3.388,2.103,23.47,26.16,2.733,1.448,0,0.2335669002,2.733,1.448,0,-0.655,-0.655,53.50909090909091
31,1,1,LH,Left,S,1,-2.924,1.333,0.735,-3.31,2.068,26.24,23.28,-3.115,1.338,0,0.6172839506,-2.924,1.333,0.735,0.195,-0.73,47.61818181818182
32,1,1,RL,Right,G,0,3.202,0.723,0,3.435,0.611,23.5,25.24,3.202,0.723,0,0.5088421755,3.202,0.723,0,-0.233,0.112,51.627272727272725
33,1,1,RH,Right,S,1,2.257,0.469,0.5,3.388,2.103,23.17,25.53,2.355,0.47,0,0.4671338005,2.257,0.469,0.5,-1.033,-1.633,52.220454545454544
34,1,1,LL,Left,S,1,-1.714,1.135,1.032,-3.443,0.617,24.6,21.91,-1.875,1.137,0,0.4004004004,-1.714,1.135,1.032,1.568,0.52,44.81590909090909
35,1,1,RL,Left,G,0,3.982,2.197,0,3.435,0.611,21.05,22.48,3.982,2.197,0,0.3420086753,3.982,2.197,0,0.547,1.586,45.981818181818184
36,2,1,LL,Right,G,0,-2.516,1.182,0,-3.443,0.617,27.01,24.38,-2.516,1.182,0,0.3753753754,-2.516,1.182,0,0.927,0.565,49.86818181818182
37,2,1,RH,Left,G,0,0.954,0.061,0,3.388,2.103,24.81,25.24,0.954,0.061,0,0.3169836503,0.954,0.061,0,-2.434,-2.042,51.627272727272725
38,2,1,LL,Right,G,0,-2.687,1.705,0,-3.443,0.617,25.96,23.98,-2.687,1.705,0,0.4170837504,-2.687,1.705,0,0.756,1.088,49.05
39,2,1,RH,Left,G,0,2.254,1.146,0,3.388,2.103,24.02,21.8,2.254,1.146,0,0.3837170504,2.254,1.146,0,-1.134,-0.957,44.59090909090909
40,2,1,RL,Right,S,1,1.666,0.934,0.817,3.435,0.611,20.4,25.78,1.788,0.935,0,0.3837170504,1.666,0.934,0.817,-1.647,0.324,52.731818181818184
41,3,1,RH,Left,G,0,1.103,2.147,0,3.388,2.103,23.92,23.58,1.103,2.147,0,0.1334668001,1.103,2.147,0,-2.285,0.044,48.231818181818184
42,3,1,LL,Right,G,0,-3.353,0.808,0,-3.443,0.617,25.64,25.69,-3.353,0.808,0,0.3670337004,-3.353,0.808,0,0.09,0.191,52.54772727272727
43,3,1,RH,Left,G,0,1.64,0.27,0,3.388,2.103,24.61,24.38,1.64,0.27,0,0.3586920254,1.64,0.27,0,-1.748,-1.833,49.86818181818182
44,3,1,RH,Right,G,1,0.922,0.81,0.602,3.388,2.103,24.39,25.69,0.971,0.81,0,0.2669336003,-0.008,0.228,0,-2.417,-1.293,52.54772727272727
45,3,1,LL,Left,S,1,-3.185,0.431,0.722,-3.443,0.617,22.47,23.72,-3.389,0.433,0,0.4254254254,-3.185,0.431,0.722,0.054,-0.184,48.518181818181816
46,1,1,RH,Right,G,0,1.879,2.236,0,3.388,2.103,24.33,24.38,1.879,2.236,0,0.7924591258,1.879,2.236,0,-1.509,0.133,49.86818181818182
